time, Quad.IMU.AX
4.654845,-0.118261
4.659845,0.180807
4.664845,-0.171221
4.669844,-0.135571
4.674844,0.219837
4.679843,0.065255
4.684843,0.048248
4.689843,-0.248592
4.694842,0.707973
4.699842,0.469757
4.704842,-0.313025
4.709841,0.724076
4.714841,0.524706
4.719841,0.408348
4.724840,0.109236
4.729840,0.403641
4.734839,-0.012336
4.739839,-0.421072
4.744839,-0.304662
4.749838,-0.420250
4.754838,-0.007326
4.759838,-0.018846
4.764837,0.493980
4.769837,0.850474
4.774837,-0.544907
4.779836,-0.007875
4.784836,0.134548
4.789835,-0.542889
4.794835,-0.612794
4.799835,0.831857
4.804834,-0.460677
4.809834,0.722712
4.814834,0.348510
4.819833,0.137056
4.824833,-0.108344
4.829833,0.320312
4.834832,-0.088451
4.839832,0.388074
4.844831,0.665429
4.849831,-0.425124
4.854831,-1.728027
4.859830,0.600255
4.864830,0.177936
4.869830,0.650499
4.874829,0.047316
4.879829,-0.310886
4.884829,-0.409714
4.889828,-0.736037
4.894828,-0.382632
4.899827,-0.076768
4.904827,-0.000651
4.909827,-0.301931
4.914826,-1.240467
4.919826,0.432433
4.924826,-0.847659
4.929825,-0.483093
4.934825,-0.089217
4.939825,-0.087743
4.944824,0.429810
4.949824,0.579461
4.954823,-0.150784
4.959823,-0.229548
4.964823,-0.567240
4.969822,-0.189247
4.974822,-0.097604
4.979822,0.958733
4.984821,-0.249103
4.989821,0.621358
4.994821,-0.399303
4.999820,0.185567
5.004820,0.477906
5.009820,0.246969
5.014819,-0.018778
5.019819,0.344182
5.024818,-0.187063
5.029818,-0.162310
5.034818,0.034410
5.039817,-0.087972
5.044817,0.514708
5.049817,-0.961699
5.054816,-0.056243
5.059816,0.405199
5.064816,0.560595
5.069815,0.192322
5.074815,0.194261
5.079814,0.611044
5.084814,-1.336089
5.089814,-0.648941
5.094813,-0.190852
5.099813,-0.244007
5.104813,-0.590242
5.109812,1.092014
5.114812,0.555240
5.119812,-0.685055
5.124811,-0.554981
5.129811,0.799146
5.134810,0.278129
5.139810,-1.123900
5.144810,-0.267484
5.149809,-0.054189
5.154809,-0.244863
5.159809,0.115328
5.164808,0.278338
5.169808,0.025036
5.174808,-0.181557
5.179807,0.351649
5.184807,-0.208040
5.189806,0.061597
5.194806,0.472491
5.199806,-0.975482
5.204805,-0.486759
5.209805,-0.148887
5.214805,-0.247417
5.219804,-0.051796
5.224804,0.260249
5.229804,0.120319
5.234803,0.150419
5.239803,-0.600056
5.244802,-0.255849
5.249802,-0.398886
5.254802,-0.448239
5.259801,-0.381806
5.264801,0.076243
5.269801,0.193544
5.274800,1.176014
5.279800,-0.073834
5.284800,0.143692
5.289799,0.382059
5.294799,-1.307268
5.299798,0.026810
5.304798,0.159690
5.309798,-0.586364
5.314797,-0.706122
5.319797,1.147279
5.324797,-0.163487
5.329796,-0.364497
5.334796,0.612300
5.339796,-0.102522
5.344795,-1.188630
5.349795,-0.580205
5.354795,0.249542
5.359794,-0.184785
5.364794,0.205208
5.369793,0.013249
5.374793,0.281250
5.379793,-1.153320
5.384792,0.473303
5.389792,0.535533
5.394792,0.090234
5.399791,-0.567855
5.404791,0.695310
5.409791,0.062630
5.414790,0.099975
5.419790,-0.441515
5.424789,0.619505
5.429789,0.650188
5.434789,0.114256
5.439788,0.215525
5.444788,0.725535
5.449788,-1.386610
5.454787,0.732142
5.459787,0.156511
5.464787,0.049322
5.469786,1.360566
5.474786,0.303267
5.479785,0.362125
5.484785,0.086186
5.489785,0.102656
5.494784,0.117895
5.499784,-0.709303
5.504784,0.943091
5.509783,0.546753
5.514783,0.457453
5.519783,0.362515
5.524782,0.590895
5.529782,0.086401
5.534781,0.632294
5.539781,0.226529
5.544781,0.904712
5.549780,0.048058
5.554780,-0.040507
5.559780,0.025110
5.564779,-0.950637
5.569779,-0.307738
5.574779,0.990314
5.579778,-1.174691
5.584778,-1.293802
5.589777,-0.619806
5.594777,-0.346564
5.599777,-0.579286
5.604776,-0.132430
5.609776,0.546272
5.614776,-0.259528
5.619775,-0.259931
5.624775,-1.089341
5.629775,-0.458231
5.634774,-0.920075
5.639774,-0.293012
5.644773,-0.047297
5.649773,-0.272540
5.654773,-0.177019
5.659772,-0.058122
5.664772,-0.070464
5.669772,-0.162510
5.674771,-0.215014
5.679771,-0.070804
5.684771,-0.807802
5.689770,-0.237459
5.694770,0.392346
5.699769,-0.410698
5.704769,-0.888999
5.709769,0.089685
5.714768,-0.011952
5.719768,-0.225308
5.724768,-1.614883
5.729767,-1.011714
5.734767,0.221114
5.739767,-0.532278
5.744766,-0.216817
5.749766,-0.019381
5.754766,-0.197084
5.759765,0.276282
5.764765,0.237957
5.769764,-0.403536
5.774764,0.985680
5.779764,0.370999
5.784763,0.032501
5.789763,0.310266
5.794763,-0.611457
5.799762,0.424200
5.804762,0.439134
5.809762,-0.360931
5.814761,0.398325
5.819761,0.146881
5.824760,0.248601
5.829760,1.525150
5.834760,-0.466344
5.839759,0.620688
5.844759,0.335891
5.849759,-0.359443
5.854758,-0.021437
5.859758,0.634548
5.864758,-0.301665
5.869757,-0.308835
5.874757,0.170825
5.879756,0.104739
5.884756,-0.032797
5.889756,0.716873
5.894755,-0.460538
5.899755,-0.276384
5.904755,-0.238349
5.909754,0.370438
5.914754,-0.360715
5.919754,-0.636802
5.924753,-0.604301
5.929753,-0.309182
5.934752,-0.435306
5.939752,0.099748
5.944752,-0.128734
5.949751,0.130954
5.954751,-0.391789
5.959751,0.113704
5.964750,0.909451
5.969750,-0.374285
5.974750,-0.499143
5.979749,-0.662330
5.984749,-0.126173
5.989748,-0.381183
5.994748,-0.102509
5.999748,1.007564
6.004747,0.694002
6.009747,0.326763
6.014747,0.286766
6.019746,0.287518
6.024746,0.756912
6.029746,0.135015
6.034745,0.760966
6.039745,0.112650
6.044744,0.185526
6.049744,0.210065
6.054744,-0.470961
6.059743,0.592002
6.064743,-0.433645
6.069743,0.519122
6.074742,0.779669
6.079742,-0.424004
6.084742,0.718594
6.089741,0.200586
6.094741,0.307073
6.099741,-0.850609
6.104740,0.778249
6.109740,-0.434417
6.114739,0.522819
6.119739,0.133776
6.124739,-0.121572
6.129738,-0.903447
6.134738,0.085680
6.139738,-0.410553
6.144737,-0.205777
6.149737,-0.452329
6.154737,-0.060673
6.159736,-0.495365
6.164736,0.383086
6.169735,0.665402
6.174735,0.514702
6.179735,0.434786
6.184734,0.084057
6.189734,-0.730482
6.194734,0.695233
6.199733,-0.018837
6.204733,-0.258052
6.209733,0.512549
6.214732,0.705776
6.219732,0.394027
6.224731,-0.006819
6.229731,0.018698
6.234731,-0.100735
6.239730,-0.103369
6.244730,0.454279
6.249730,1.388188
6.254729,-0.372246
6.259729,-0.288794
6.264729,-0.278167
6.269728,-0.335038
6.274728,-0.397812
6.279727,-0.747756
6.284727,0.996055
6.289727,0.381803
6.294726,-0.371363
6.299726,-0.668217
6.304726,0.750142
6.309725,1.019642
6.314725,0.382462
6.319725,0.099796
6.324724,-0.815920
6.329724,0.184103
6.334723,0.711191
6.339723,-0.372526
6.344723,-0.446674
6.349722,0.041471
6.354722,-0.284660
6.359722,-0.126307
6.364721,-0.295350
6.369721,-0.048784
6.374721,-0.491902
6.379720,0.552508
6.384720,0.105729
6.389719,-0.119216
6.394719,0.119000
6.399719,0.669722
6.404718,0.071913
6.409718,0.668462
6.414718,-0.259082
6.419717,-0.324822
6.424717,0.272142
6.429717,0.320268
6.434716,-0.441897
6.439716,0.432795
6.444715,-0.020607
6.449715,-0.603028
6.454715,0.297194
6.459714,-0.760640
6.464714,1.081421
6.469714,-0.538184
6.474713,-0.627015
6.479713,0.285778
6.484713,0.010496
6.489712,0.435022
6.494712,0.230159
6.499712,0.320538
6.504711,-0.462318
6.509711,0.214450
6.514710,-0.907757
6.519710,-0.014361
6.524710,0.317396
6.529709,-0.178062
6.534709,-0.421865
6.539709,0.288269
6.544708,-0.011274
6.549708,-0.505877
6.554708,0.482703
6.559707,0.440621
6.564707,-0.420391
6.569706,-0.284568
6.574706,-0.379363
6.579706,-0.495155
6.584705,0.609876
6.589705,-0.432980
